Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-05-13,4434.0,4455.0,4418.0,4423.0,3.0,4423.75,271.0,6700.0
2015-05-12,4408.0,4438.0,4374.0,4423.0,10.5,4420.75,678.0,6523.0
2015-05-11,4452.0,4463.0,4431.0,4431.0,17.5,4431.25,195.0,6521.0
2015-05-08,4442.0,4463.0,4438.0,4450.0,46.25,4448.75,122.0,8990.0
2015-05-07,4369.0,4410.0,4368.0,4402.5,29.5,4402.5,867.0,9156.0
2015-05-06,4408.5,4420.0,4344.5,4372.0,34.5,4373.0,1877.0,7841.0
2015-05-05,4458.0,4464.0,4398.5,4407.5,69.0,4407.5,1826.0,7693.0
2015-05-04,4483.0,4502.5,4473.0,4476.0,8.75,4476.5,708.0,7443.0
2015-05-01,4426.5,4471.0,4426.0,4468.0,59.5,4467.75,294.0,7436.0
2015-04-30,4454.0,4474.0,4387.0,4414.0,71.5,4408.25,500.0,7457.0
2015-04-29,4487.0,4512.0,4457.0,4479.5,36.25,4479.75,394.0,7170.0
2015-04-28,4520.0,4531.0,4472.0,4515.5,8.75,4516.0,1158.0,6338.0
2015-04-27,4548.0,4555.0,4511.0,4524.5,4.5,4524.75,633.0,5857.0
2015-04-24,4518.0,4535.0,4511.0,4529.0,47.75,4529.25,480.0,5679.0
2015-04-23,4438.0,4495.0,4437.0,4482.0,36.25,4481.5,449.0,5248.0
2015-04-22,4440.0,4459.25,4412.0,4445.5,16.75,4445.25,273.0,5115.0
2015-04-21,4435.0,4441.0,4423.75,4429.5,21.0,4428.5,147.0,4993.0
2015-04-20,4364.0,4418.0,4363.0,4407.0,58.5,4407.5,857.0,5493.0
2015-04-17,4372.0,4381.0,4324.0,4349.25,66.25,4349.0,1595.0,5740.0
2015-04-16,4406.0,4421.0,4402.0,4415.0,6.5,4415.25,112.0,5691.0
2015-04-15,4402.0,4428.0,4399.0,4421.5,24.0,4421.75,510.0,5438.0
2015-04-14,4398.0,4415.0,4367.0,4397.5,5.5,4397.75,251.0,5322.0
2015-04-13,4420.0,4441.0,4401.0,4402.5,11.5,4403.25,33.0,5317.0
2015-04-10,4394.5,4416.0,4389.0,4415.0,15.5,4414.75,30.0,5333.0
2015-04-09,4366.5,4400.0,4354.0,4398.0,24.5,4399.25,143.0,5322.0
2015-04-08,4338.0,4377.0,4338.0,4374.75,40.75,4374.75,49.0,5428.0
2015-04-07,4339.5,4372.0,4334.0,4335.0,8.25,4334.0,264.0,5231.0
2015-04-06,4281.0,4354.0,4275.0,4342.25,35.0,4342.25,767.0,4535.0
2015-04-02,4307.0,4319.0,4294.0,4308.0,5.75,4307.25,64.0,4783.0
2015-04-01,4325.0,4327.0,4277.0,4315.0,16.5,4313.0,268.0,4509.0
2015-03-31,4360.0,4369.0,4322.0,4322.0,43.0,4329.5,164.0,4916.0
2015-03-30,4348.5,4376.0,4348.5,4373.0,46.75,4372.5,25.0,4674.0
2015-03-27,4303.0,4333.0,4299.0,4327.0,15.0,4325.75,597.0,5178.0
2015-03-26,4285.0,4331.0,4270.0,4310.0,12.75,4310.75,1191.0,4962.0
2015-03-25,4433.5,4435.0,4319.0,4323.0,105.5,4323.5,552.0,4851.0
2015-03-24,4441.5,4461.0,4425.0,4426.5,7.75,4429.0,1083.0,3669.0
2015-03-23,4448.0,4459.0,4435.5,4437.0,10.5,4436.75,53.0,3665.0
2015-03-20,4454.0,4472.0,4445.5,4446.5,25.25,4447.25,1157.0,2801.0
2015-03-19,4419.0,4431.0,4411.0,4420.5,1.75,4422.0,101.0,2657.0
2015-03-18,4359.5,4438.0,4337.0,4417.5,49.75,4420.25,269.0,2534.0
2015-03-17,4350.0,4377.5,4345.0,4370.5,17.75,4370.5,306.0,2368.0
2015-03-16,4326.0,4364.75,4321.0,4353.0,50.5,4352.75,1349.0,1133.0
2015-03-13,4325.5,4341.0,4283.0,4301.0,22.5,4302.25,262.0,923.0
2015-03-12,4298.0,4334.0,4298.0,4323.5,23.5,4324.75,540.0,695.0
2015-03-11,4331.0,4334.0,4300.0,4303.0,23.5,4301.25,336.0,372.0
2015-03-10,4358.0,4358.0,4324.0,4324.0,82.5,4324.75,15.0,369.0
2015-03-09,4393.5,4414.0,4390.0,4414.0,8.75,4407.25,268.0,101.0
2015-03-06,4416.0,4416.0,4386.0,4386.0,44.5,4398.5,29.0,80.0
2015-03-05,4454.0,4457.0,4441.0,4441.0,5.0,4443.0,3.0,80.0
2015-03-04,,,,,12.5,4438.0,0.0,80.0
2015-03-03,,,,,20.25,4450.5,0.0,81.0
2015-03-02,4463.0,4475.0,4463.0,4475.0,34.75,4470.75,16.0,75.0
2015-02-27,,,,,19.5,4436.0,0.0,81.0
2015-02-26,4440.0,4452.0,4440.0,4452.0,25.0,4455.5,6.0,77.0
2015-02-25,4444.5,4449.5,4444.5,4449.5,13.75,4430.5,3.0,75.0
2015-02-24,4436.5,4441.0,4436.5,4441.0,5.75,4444.25,4.0,75.0
2015-02-23,,,,,6.5,4438.5,0.0,75.0
2015-02-20,,,,,24.75,4432.0,0.0,75.0
2015-02-19,,,,,26.75,4407.25,0.0,75.0
2015-02-18,,,,,4.25,4380.5,0.0,75.0
2015-02-17,,,,,5.25,4376.25,84.0,0.0
2015-02-13,,,,,32.25,4371.0,0.0,0.0
2015-02-12,,,,,48.75,4338.75,0.0,0.0
2015-02-11,,,,,20.25,4290.0,0.0,0.0
2015-02-10,,,,,62.0,4269.75,0.0,0.0
2015-02-09,,,,,13.25,4207.75,0.0,0.0
2015-02-06,,,,,20.0,4221.0,0.0,0.0
2015-02-05,,,,,43.5,4241.0,0.0,0.0
2015-02-04,,,,,12.25,4197.5,0.0,0.0
2015-02-03,,,,,31.5,4209.75,0.0,0.0
2015-02-02,,,,,45.75,4178.25,0.0,0.0
2015-01-30,,,4165.0,4165.0,44.5,4132.5,0.0,0.0
2015-01-29,,,,,64.25,4177.0,0.0,0.0
2015-01-27,,,,,93.25,4166.0,0.0,0.0
2015-01-26,,,4256.0,4256.0,3.0,4259.25,0.0,0.0
2015-01-23,,,,,0.5,4256.25,0.0,0.0
2015-01-22,,,,,86.25,4256.75,0.0,0.0
2015-01-21,,,,,16.75,4170.5,0.0,0.0
2015-01-20,,,,,33.0,4153.75,0.0,0.0
2015-01-16,,,,,42.5,4120.75,0.0,0.0
2015-01-15,,,,,55.25,4078.25,0.0,0.0
2015-01-14,,,,,11.5,4133.5,0.0,0.0
2015-01-13,,,,,11.25,4145.0,0.0,0.0
2015-01-12,,,,,33.75,4156.25,0.0,0.0
2015-01-09,,,,,28.25,4190.0,0.0,0.0
2015-01-08,,,,,77.5,4218.25,0.0,0.0
2015-01-07,,,,,49.25,4140.75,0.0,0.0
2015-01-06,,,,,59.5,4091.5,0.0,0.0
2015-01-05,,,,,49.25,4151.0,0.0,0.0
2015-01-02,,,,,21.75,4200.25,0.0,0.0
2014-12-31,,,,,50.0,4222.0,0.0,0.0
2014-12-26,,,,,22.5,4297.25,0.0,0.0
2014-12-24,,,,,4.5,4274.75,0.0,0.0
2014-12-23,,,,,10.75,4270.25,0.0,0.0
2014-12-22,,,,,7.25,4281.0,0.0,0.0
2014-12-19,,,,,24.5,4273.75,0.0,0.0
2014-12-18,,,,,102.25,4249.25,0.0,0.0
2014-12-17,,,,,76.25,4147.0,0.0,0.0
2014-12-16,,,,,76.75,4070.75,0.0,0.0
2014-12-15,,,,,25.5,4147.5,0.0,0.0
2014-12-12,,,,,47.0,4173.0,0.0,0.0
2014-12-11,,,,,9.75,4220.0,0.0,0.0
2014-12-10,,,,,63.5,4210.25,0.0,0.0
2014-12-09,,,,,11.75,4273.75,0.0,0.0
2014-12-08,,,,,34.25,4262.0,0.0,0.0
2014-12-05,,,,,0.25,4296.25,0.0,0.0
2014-12-04,,,,,3.25,4296.5,0.0,0.0
2014-12-03,,,,,5.0,4293.25,0.0,0.0
2014-12-02,,,,,19.0,4288.25,0.0,0.0
2014-12-01,,,,,51.75,4269.25,0.0,0.0
2014-11-28,,,,,20.75,4321.0,0.0,0.0
2014-11-26,,,,,25.25,4300.25,0.0,0.0
2014-11-25,,,,,10.25,4275.0,0.0,0.0
2014-11-24,,,,,32.75,4264.75,0.0,0.0
2014-11-21,,,,,4.25,4232.0,0.0,0.0
2014-11-20,,,,,21.5,4227.75,0.0,0.0
2014-11-19,,,,,14.0,4206.25,0.0,0.0
2014-11-18,,,,,26.0,4220.25,0.0,0.0
2014-11-17,,,,,9.5,4194.25,0.0,0.0
2014-11-14,,,,,17.25,4203.75,0.0,0.0
2014-11-13,,,,,9.0,4186.5,0.0,0.0
2014-11-12,,,,,13.0,4177.5,0.0,0.0
2014-11-11,,,,,13.25,4164.5,0.0,0.0
2014-11-10,,,,,19.5,4151.25,0.0,0.0
2014-11-07,,,,,12.0,4131.75,0.0,0.0
2014-11-06,,,,,20.25,4143.75,0.0,0.0
2014-11-05,,,,,1.0,4123.5,0.0,0.0
2014-11-04,,,,,13.5,4124.5,0.0,0.0
2014-11-03,,,,,7.25,4138.0,0.0,0.0
2014-10-31,,,,,60.25,4130.75,0.0,0.0
2014-10-30,,,,,17.75,4070.5,0.0,0.0
2014-10-29,,,,,21.75,4052.75,0.0,0.0
2014-10-28,,,,,55.75,4074.5,0.0,0.0
2014-10-27,,,,,3.5,4018.75,0.0,0.0
2014-10-24,,,,,29.75,4015.25,0.0,0.0
2014-10-23,,,,,55.5,3985.5,0.0,0.0
2014-10-22,,,,,22.5,3930.0,0.0,0.0
2014-10-21,,,,,105.25,3952.5,0.0,0.0
2014-10-20,,,,,62.0,3847.25,0.0,0.0
2014-10-17,,,,,62.5,3785.25,0.0,0.0
2014-10-16,,,,,10.5,3722.75,0.0,0.0
2014-10-15,,,,,60.0,3733.25,0.0,0.0
2014-10-14,,,,,13.25,3793.25,0.0,0.0
2014-10-13,,,,,54.5,3780.0,0.0,0.0
2014-10-10,,,,,117.25,3834.5,0.0,0.0
2014-10-09,,,,,60.25,3951.75,0.0,0.0
2014-10-08,,,,,74.25,4012.0,0.0,0.0
2014-10-07,,,,,50.75,3937.75,0.0,0.0
2014-10-06,,,,,9.0,3988.5,0.0,0.0
2014-10-03,,,,,38.0,3997.5,0.0,0.0
2014-10-02,,,,,4.5,3959.5,0.0,0.0
2014-10-01,,,,,62.0,3964.0,0.0,0.0
2014-09-30,,,,,8.5,4026.0,0.0,0.0
2014-09-29,,,,,9.75,4017.5,0.0,0.0
2014-09-26,,,,,38.25,4027.25,0.0,0.0
2014-09-25,,,,,80.25,3989.0,0.0,0.0
2014-09-24,,,,,50.75,4069.25,0.0,0.0
2014-09-23,,,,,15.75,4018.5,0.0,0.0
2014-09-22,,,,,40.25,4034.25,0.0,0.0
2014-09-19,,,,,3.5,4074.5,0.0,0.0
2014-09-18,,,,,31.25,4078.0,0.0,0.0
2014-09-17,,,,,6.5,4046.75,0.0,0.0
2014-09-16,,,,,32.5,4040.25,0.0,0.0
2014-09-15,,,,,36.25,4007.75,0.0,0.0
2014-09-12,,,,,21.25,4044.0,0.0,0.0
2014-09-11,,,,,2.0,4065.25,0.0,0.0
2014-09-10,,,,,27.25,4067.25,0.0,0.0
2014-09-09,,,,,27.25,4040.0,0.0,0.0
2014-09-08,,,,,6.5,4067.25,0.0,0.0
2014-09-05,,,,,17.25,4060.75,0.0,0.0
2014-09-04,,,,,2.75,4043.5,0.0,0.0
2014-09-03,,,,,20.25,4046.25,0.0,0.0
2014-09-02,,,,,10.25,4066.5,0.0,0.0
2014-08-29,,,,,12.25,4056.25,0.0,0.0
2014-08-28,,,,,3.0,4044.0,0.0,0.0
2014-08-27,,,,,0.5,4047.0,0.0,0.0
2014-08-26,,,,,8.75,4046.5,0.0,0.0
2014-08-25,,,,,8.75,4037.75,0.0,0.0
2014-08-22,,,,,7.0,4029.0,0.0,0.0
2014-08-21,,,,,8.25,4022.0,0.0,0.0
2014-08-20,,,,,5.25,4013.75,0.0,0.0
2014-08-19,,,,,21.0,4008.5,0.0,0.0
2014-08-18,,,,,28.25,3987.5,0.0,0.0
2014-08-15,,,,,17.0,3959.25,0.0,0.0
2014-08-14,,,,,22.25,3942.25,0.0,0.0
2014-08-13,,,,,42.25,3920.0,0.0,0.0
2014-08-12,,,,,1.25,3877.75,0.0,0.0
2014-08-11,,,,,31.25,3879.0,0.0,0.0
2014-08-08,,,,,16.75,3847.75,0.0,0.0
2014-08-07,,,,,11.75,3831.0,0.0,0.0
2014-08-06,,,,,3.0,3842.75,0.0,0.0
2014-08-05,,,,,25.0,3845.75,0.0,0.0
2014-08-04,,,,,23.25,3870.75,0.0,0.0
2014-08-01,,,,,11.5,3847.5,0.0,0.0
2014-07-31,,,,,83.5,3859.0,0.0,0.0
2014-07-30,,,,,16.25,3942.5,0.0,0.0
2014-07-29,,,,,7.75,3926.25,0.0,0.0
2014-07-28,,,,,4.25,3934.0,0.0,0.0
2014-07-25,,,,,16.0,3929.75,0.0,0.0
2014-07-24,,,,,3.75,3945.75,0.0,0.0
2014-07-23,,,,,25.0,3949.5,0.0,0.0
2014-07-22,,,,,24.75,3924.5,0.0,0.0
2014-07-21,,,,,4.0,3899.75,0.0,0.0
2014-07-18,,,,,54.5,3903.75,0.0,0.0
2014-07-17,,,,,46.25,3849.25,0.0,0.0
2014-07-16,,,,,10.0,3895.5,0.0,0.0
2014-07-15,,,,,6.75,3885.5,0.0,0.0
2014-07-14,,,,,22.0,3892.25,0.0,0.0
2014-07-11,,,,,23.75,3870.25,0.0,0.0
2014-07-10,,,,,11.75,3846.5,0.0,0.0
2014-07-09,,,,,22.25,3858.25,0.0,0.0
2014-07-08,,,,,41.0,3836.0,0.0,0.0
2014-07-07,,,,,11.75,3877.0,0.0,0.0
2014-07-03,,,,,25.75,3888.75,0.0,0.0
2014-07-02,,,,,5.25,3863.0,0.0,0.0
2014-07-01,,,,,44.0,3857.75,0.0,0.0
2014-06-30,,,,,9.25,3813.75,0.0,0.0
2014-06-27,,,,,13.75,3804.5,0.0,0.0
2014-06-26,,,,,2.5,3790.75,0.0,0.0
2014-06-25,,,,,20.75,3788.25,0.0,0.0
2014-06-24,,,,,0.75,3767.5,0.0,0.0
2014-06-23,,,,,1.25,3766.75,0.0,0.0
2014-06-20,,,,,4.75,3765.5,0.0,0.0
2014-06-19,,,,,6.25,3760.75,0.0,0.0
2014-06-18,,,,,23.5,3767.0,0.0,0.0
2014-06-17,,,,,0.25,3743.5,0.0,0.0
2014-06-16,,,,,3.5,3743.25,0.0,0.0
2014-06-13,,,,,4.5,3739.75,0.0,0.0
2014-06-12,,,,,27.0,3735.25,0.0,0.0
2014-06-11,,,,,2.25,3762.25,0.0,0.0
2014-06-10,,,,,6.75,3764.5,0.0,0.0
2014-06-09,,,,,4.75,3757.75,0.0,0.0
2014-06-06,,,,,21.75,3762.5,0.0,0.0
2014-06-05,,,,,33.25,3740.75,0.0,0.0
2014-06-04,,,,,12.25,3707.5,0.0,0.0
2014-06-03,,,,,3.25,3695.25,0.0,0.0
2014-06-02,,,,,7.75,3692.0,0.0,0.0
2014-05-30,,,,,0.25,3699.75,0.0,0.0
2014-05-29,,,,,19.25,3700.0,0.0,0.0
2014-05-28,,,,,5.25,3680.75,0.0,0.0
2014-05-27,,,,,46.25,3686.0,0.0,0.0
2014-05-23,,,,,27.0,3639.75,0.0,0.0
2014-05-22,,,,,14.5,3612.75,0.0,0.0
2014-05-21,,,,,36.75,3598.25,0.0,0.0
2014-05-20,,,,,16.75,3561.5,0.0,0.0
2014-05-19,,,,,30.5,3578.25,0.0,0.0
2014-05-16,,,,,19.5,3547.75,0.0,0.0
2014-05-15,,,,,33.0,3528.25,0.0,0.0
2014-05-14,,,,,12.5,3561.25,0.0,0.0
2014-05-13,,,,,1.0,3573.75,0.0,0.0
2014-05-12,,,,,60.0,3572.75,0.0,0.0
2014-05-09,,,,,10.25,3512.75,0.0,0.0
2014-05-08,,,,,3.0,3502.5,0.0,0.0
2014-05-07,,,,,10.25,3505.5,0.0,0.0
2014-05-06,,,,,39.75,3515.75,0.0,0.0
2014-05-05,,,,,11.5,3555.5,0.0,0.0
2014-05-02,,,,,7.5,3544.0,0.0,0.0
2014-05-01,,,,,13.25,3551.5,0.0,0.0
2014-04-30,,,,,9.75,3538.25,0.0,0.0
2014-04-29,,,,,22.75,3528.5,0.0,0.0
2014-04-28,,,,,10.25,3505.75,0.0,0.0
2014-04-25,,,,,54.0,3495.5,0.0,0.0
2014-04-24,,,,,30.5,3549.5,0.0,0.0
2014-04-23,,,,,30.5,3519.0,0.0,0.0
2014-04-22,,,,,33.75,3549.5,0.0,0.0
2014-04-21,,,,,28.0,3515.75,0.0,0.0
2014-04-17,,,,,21.5,3487.75,0.0,0.0
2014-04-16,,,,,10.25,3466.25,0.0,0.0
2014-04-15,,,,,21.0,3456.0,0.0,0.0
2014-04-14,,,,,26.25,3435.0,0.0,0.0
2014-04-11,,,,,36.0,3408.75,0.0,0.0
2014-04-10,,,,,111.0,3444.75,0.0,0.0
2014-04-09,,,,,62.0,3555.75,0.0,0.0
2014-04-08,,,,,29.25,3493.75,0.0,0.0
2014-04-07,,,,,38.5,3464.5,0.0,0.0
2014-04-04,,,,,93.0,3503.0,0.0,0.0
2014-04-03,,,,,26.5,3596.0,0.0,0.0
2014-04-02,,,,,11.0,3622.5,0.0,0.0
2014-04-01,,,,,64.0,3611.5,0.0,0.0
2014-03-31,,,,,23.0,3547.5,0.0,0.0
2014-03-28,,,,,8.5,3524.5,0.0,0.0
2014-03-27,,,,,18.5,3516.0,0.0,0.0
2014-03-26,,,,,51.75,3534.5,0.0,0.0
2014-03-25,,,,,12.25,3586.25,0.0,0.0
2014-03-24,,,,,29.75,3574.0,0.0,0.0
2014-03-21,,,,,52.75,3603.75,0.0,0.0
2014-03-20,,,,,17.25,3656.5,0.0,0.0
2014-03-19,,,,,3596.0,3639.25,0.0,0.0
